"iteration","modelnum","model","random_slope","formula","snp","aic_qic","converged","interaction","beta","p"
8,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25172.4346098827,0,"snp:age","-0.01 (-0.011 - -0.0095)",2.3e-152
8,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25172.4346098827,0,"snp:time","0.0045 (-0.00092 - 0.0099)",0.1
8,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26239.4731299582,1,"snp:time","-0.015 (-0.02 - -0.0091)",1.7e-07
8,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26998.2660859836,1,"snp:time","-0.0046 (-0.0099 - 0.00067)",0.087
8,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26573.5738600778,1,"snp:time","-0.0034 (-0.0087 - 0.0018)",0.2
8,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26767.1084018721,1,"snp:age","-0.0036 (-0.0046 - -0.0025)",4.2e-11
8,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26935.971574869,1,"snp:age","-0.0038 (-0.0047 - -0.0029)",1.1e-16
8,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26946.9870014666,1,"snp:age","-0.004 (-0.0049 - -0.003)",3.2e-16
8,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26946.9870014666,1,"snp:time","0.0026 (-0.003 - 0.0082)",0.36
8,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27350.7691615264,0,"snp:time","-0.0038 (-0.0093 - 0.0016)",0.17
9,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25678.0084698341,1,"snp:time","-0.019 (-0.024 - -0.014)",2.1e-12
9,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",25672.7394528658,1,"snp:time","-0.018 (-0.023 - -0.013)",2.8e-11
9,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25294.9985113329,1,"snp:age","-0.0093 (-0.01 - -0.0085)",9.9e-89
9,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25272.2183156547,1,"snp:age","-0.0093 (-0.01 - -0.0085)",1.4e-101
9,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25283.5534740526,1,"snp:age","-0.0092 (-0.01 - -0.0084)",3.1e-91
9,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25283.5534740526,1,"snp:time","-0.0021 (-0.0076 - 0.0033)",0.44
9,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26095.4753985593,1,"snp:time","-0.019 (-0.024 - -0.013)",1.3e-11
9,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",26991.1662067943,1,"snp:time","-0.0086 (-0.014 - -0.0033)",0.0014
9,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",26889.659197599,1,"snp:time","-0.0069 (-0.012 - -0.0017)",0.0099
9,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26858.7452335349,1,"snp:age","-0.0035 (-0.0047 - -0.0023)",3.7e-09
9,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",26960.1375429709,1,"snp:age","-0.0036 (-0.0046 - -0.0025)",2.6e-11
9,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26971.2982485672,1,"snp:age","-0.0034 (-0.0045 - -0.0023)",3.4e-09
9,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",26971.2982485672,1,"snp:time","-0.0024 (-0.0081 - 0.0032)",0.4
9,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27325.1021780617,1,"snp:time","-0.0093 (-0.015 - -0.0039)",0.00071
10,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25971.2911989095,1,"snp:time","-0.025 (-0.031 - -0.02)",8.1e-21
10,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",25960.9386264783,1,"snp:time","-0.021 (-0.026 - -0.016)",3.8e-15
10,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25468.8164530834,1,"snp:age","-0.011 (-0.012 - -0.01)",5.7e-116
10,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25464.8063328984,1,"snp:age","-0.011 (-0.012 - -0.01)",3.3e-131
10,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25472.7386581177,1,"snp:age","-0.011 (-0.012 - -0.0099)",5.2e-114
10,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25472.7386581177,1,"snp:time","-0.0056 (-0.011 - -1e-04)",0.046
10,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_rd",26386.2622615149,1,"snp:time","-0.024 (-0.03 - -0.019)",2e-18
10,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_lb",27274.1687674537,1,"snp:time","-0.0067 (-0.012 - -0.0013)",0.014
10,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_lb",27125.0567885376,1,"snp:time","-0.0045 (-0.0098 - 0.00078)",0.094
10,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_lb",26972.3996642528,1,"snp:age","-0.0041 (-0.0051 - -0.0031)",2.3e-15
10,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_lb",27240.3046084561,1,"snp:age","-0.0036 (-0.0047 - -0.0026)",5.3e-11
10,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",27252.1357164356,1,"snp:age","-0.0036 (-0.0048 - -0.0025)",1.1e-09
10,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_lb",27252.1357164356,1,"snp:time","-1.1e-05 (-0.0058 - 0.0057)",1
10,6,"LMM random intercept + slope","time","fev1~snp+time+time*snp+age_baseline+age_c2_baseline","snp_lb",27649.6507751618,1,"snp:time","-0.0058 (-0.011 - -0.00035)",0.037
11,1,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+time*snp","snp_rd",25955.4271973669,0,"snp:time","-0.019 (-0.024 - -0.014)",1.8e-12
11,2,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+time*snp","snp_rd",25986.4689571502,1,"snp:time","-0.015 (-0.02 - -0.0095)",4.2e-08
11,3,"LMM random intercept + slope","age","fev1~snp+age+age_c2+time+age*snp","snp_rd",25644.9431513812,1,"snp:age","-0.01 (-0.011 - -0.0091)",6e-77
11,4,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp","snp_rd",25500.3801333406,1,"snp:age","-0.01 (-0.011 - -0.0093)",1.3e-112
11,5,"LMM random intercept + slope","time","fev1~snp+age+age_c2+time+age*snp+time*snp","snp_rd",25512.2913622981,0,"snp:age","-0.01 (-0.011 - -0.0093)",7.3e-102
